[3Fe-4S]+;[4Fe-4S]2+
118.6876;94.7346
125.4995;93.1094
123.4882;92.7859
119.3312;93.2564
122.4337;92.678
122.436;94.8588
122.4042;93.4463
127.6007;93.2994
125.6371;92.0155
126.0046;92.7387
129.3383;93.3404
125.9375;93.3796
124.5484;93.0722
119.8545;94.109
123.5689;96.1259
124.8361;94.6556
123.223;93.5099
124.514;94.951
124.7055;92.2635
124.5715;91.2672
123.1497;91.0219
123.7311;92.9388
121.5598;93.4626
124.2967;94.1111
123.6916;91.6351
121.9777;93.3176
122.7073;93.9527
122.0071;94.4335
124.3684;93.396
124.4698;92.4826
125.7617;94.7234
123.6719;93.1139
126.8657;93.3716
124.3423;91.6039
125.7613;94.0706
125.6732;91.1645
124.7275;94.7272
124.8318;93.6876
126.3889;93.3637
127.8922;92.3312
125.5633;95.152
126.8563;93.2075
122.4059;94.3529
125.6985;94.0661
123.4829;92.9331
126.3577;95.2627
124.3555;94.3606
125.9361;93.8136
122.4816;92.5619
124.7622;95.2495
125.8093;91.1877
129.4391;97.2265
127.4176;94.0624
128.204;95.2075
128.3049;95.2175
125.7317;94.8969
126.3295;94.9937
126.2586;93.6115
123.4122;95.0864
123.4178;93.7677
123.3032;94.9974
130.9015;94.3782
125.6072;91.4727
123.4523;93.0018
128.4981;91.9167
122.9703;91.2699
122.8099;92.3176
125.3426;91.0316
127.8307;93.7893
124.6336;92.4963
124.5909;90.6781
128.8643;93.9425
129.1018;91.5428
129.2158;93.0736
129.5146;94.7562
119.6856;92.3466
123.273;92.8289
120.1618;93.4242
123.1868;93.2607
121.7448;92.5621
121.7855;90.6864
121.4397;90.2197
124.2461;92.4148
125.7367;91.6113
125.2548;92.8025
121.0821;92.6355
126.7268;94.5073
126.1728;92.9668
127.5538;95.2612
127.5944;94.3969
122.3307;92.7453
121.7453;94.044
121.4563;94.4478
122.5281;93.0438
126.7099;94.5581
120.9785;93.453
123.3459;92.9104
121.8527;95.3208
116.6496;92.6913
120.14;94.1552
121.0631;94.1431
119.6414;92.1946
122.0176;93.052
125.8314;94.3793
126.1136;92.8481
125.7226;94.9766
123.6607;93.6891
122.4103;92.6934
131.0114;93.9835
123.4506;91.947
123.0836;95.4952
125.8695;91.8346
125.9872;92.5084
124.6621;92.2561
125.3596;92.1962
126.5542;93.9457
126.5024;93.1059
126.0253;92.9969
127.3474;92.7776
126.929;92.1885
126.3067;94.5223
120.3486;92.9117
123.5573;94.8704
125.6545;93.0467
124.3249;92.1447
120.2736;93.5475
123.6781;95.1192
123.7712;93.1271
126.4321;96.1398
120.4476;95.2172
123.0263;95.9008
123.4863;95.6496
124.8234;94.3059
126.4805;92.0561
124.4908;92.5175
124.7212;90.9154
122.7483;89.5989
124.1849;92.5699
124.0244;91.7841
128.4622;91.2279
125.7788;94.0876
123.9282;95.2894
125.7026;92.7605
127.5288;97.1109
129.6442;93.1768
132.0245;94.7633
128.3687;92.9254
130.4467;96.117
130.8915;92.4316
128.6414;95.9147
130.9972;93.2485
126.424;92.609
128.1952;93.8301
129.8043;93.7691
127.668;94.3816
127.3942;93.064
129.5485;94.9776
134.4727;93.324
127.6751;92.6267
125.5907;92.6598
127.411;91.6411
128.9896;94.0288
127.1535;94.2957
127.4881;92.9298
127.8224;94.566
130.6497;97.0026
128.5456;92.7928
128.0778;94.3778
130.4273;93.3524
129.2579;94.4041
128.4636;96.267
131.6255;92.5976
131.5833;95.6415
134.4958;96.8013
132.2923;94.0147
128.7192;95.0055
130.5985;96.6011
133.0454;92.8477
131.8664;95.8744
128.4661;94.3424
123.2584;91.4526
125.9582;91.3841
128.603;92.8693
129.6332;90.7063
128.4369;91.715
124.1266;95.2977
124.0427;92.0736
128.519;94.4557
129.0451;92.6018
127.9394;94.8541
127.9327;91.7369
130.8993;93.6642
129.6021;95.8924
129.9833;93.5924
125.9954;93.5416
127.2256;94.9244
126.8949;96.3322
126.8996;95.6029
129.6018;89.8735
127.9174;93.3909
126.9153;92.6081
125.6064;93.14
122.7251;96.1843
127.8412;91.4281
126.4112;93.2298
124.4524;91.6973
120.3448;92.8093
121.4321;94.5094
124.6648;96.4643
122.0269;92.7671
117.9587;95.8141
122.9141;95.232
126.3625;94.2831
124.4032;94.2558
117.433;91.7038
122.0658;94.0733
122.7002;93.5279
127.1242;95.4069
119.4833;95.4219
120.4218;96.6501
113.5844;94.9568
122.2548;94.8672
118.8781;93.8608
121.2714;94.4062
119.303;95.6402
119.7468;95.4467
121.8772;96.1601
121.4777;94.3148
120.3532;93.4721
121.0672;94.8178
119.9101;94.7054
117.9907;93.8832
120.3248;91.353
118.1434;92.8525
119.839;93.7259
124.5235;92.6089
125.4184;92.0059
124.9394;94.8369
119.9627;95.7916
121.0228;95.004
125.2774;90.9194
122.148;94.8064
121.8789;94.9652
122.106;94.199
127.4397;96.8832
119.0907;93.2184
122.5423;94.9328
120.2753;96.1826
123.1771;95.3184
125.2157;94.6697
118.5835;95.3501
121.0184;95.5083
116.2123;94.3301
122.0111;93.9192
124.1273;93.886
118.5896;97.4801
121.446;95.1656
119.037;94.8019
126.1883;92.8461
124.4861;95.9246
122.8286;93.249
118.0543;94.1088
120.1598;94.7082
122.6235;94.8138
119.6116;97.453
120.6173;99.2833
120.5793;98.3916
121.4233;98.1151
120.3886;93.3107
122.5664;96.7168
121.1012;95.1549
121.7545;94.1277
119.4513;92.9967
120.0366;93.8589
122.8311;94.0951
122.6516;96.7238
120.8313;92.2707
118.721;97.3564
122.334;94.719
120.0753;96.0595
122.2203;96.521
123.8085;94.6031
124.6226;93.5196
123.6512;96.0282
120.8597;97.3223
124.3371;95.6999
123.0046;95.1829
120.8976;97.7487
121.4777;95.9346
118.0712;97.8058
120.613;96.2439
123.8344;99.6883
123.7617;98.2537
122.0701;101.8879
124.5619;99.0943
121.9884;97.3146
122.8721;93.6946
124.1397;95.537
127.2393;94.704
126.1126;100.3867
124.975;99.9008
127.2903;99.6496
122.0419;96.1405
127.7973;100.0426
126.1815;95.8961
122.2557;98.4282
129.1634;98.7108
124.9176;99.0981
121.8012;97.8844
125.1848;98.473
128.9593;95.2593
125.5218;95.5902
127.2766;92.2022
125.92;91.8193
122.1211;96.3086
129.5418;95.8682
124.8734;93.9401
129.7809;91.9057
130.742;94.9962
123.4547;93.3652
127.0406;93.4178
128.9956;93.8422
128.5938;95.6676
128.5635;93.1948
127.158;93.7705
125.3106;95.2418
124.8066;94.4898
127.4249;95.4203
122.2661;93.642
122.1326;94.4832
128.1484;95.6278
127.8333;93.2151
131.4134;94.7811
126.9725;93.1458
131.1725;96.9766
126.9161;93.84
131.0671;96.7382
127.6844;96.0164
131.961;95.7635
